Ranking,Team Name,Hyperlink,Wins,Losses,Ties,Winning Percentage,Season
89,Arizona St. (Pac-12),https://stats.ncaa.org/team/28.0/11620,33,33-24,24,0,2013-14
90,Georgia Tech (ACC),https://stats.ncaa.org/team/255.0/11620,37,37-27,27,0,2013-14
91,Hartford (America East),https://stats.ncaa.org/team/272.0/11620,31,31-23,23,0,2013-14
91,Tennessee (SEC),https://stats.ncaa.org/team/694.0/11620,31,31-23,23,0,2013-14
93,UTSA (CUSA),https://stats.ncaa.org/team/706.0/11620,35,35-26,26,0,2013-14
93,Kansas (Big 12),https://stats.ncaa.org/team/328.0/11620,35,35-26,26,0,2013-14
93,Stanford (Pac-12),https://stats.ncaa.org/team/674.0/11620,35,35-26,26,0,2013-14
96,Jacksonville St. (OVC),https://stats.ncaa.org/team/315.0/11620,36,36-27,27,0,2013-14
96,LMU (CA) (WCC),https://stats.ncaa.org/team/370.0/11620,32,32-24,24,0,2013-14
98,Duke (ACC),https://stats.ncaa.org/team/193.0/11620,33,33-25,25,0,2013-14
99,Long Beach St. (Big West),https://stats.ncaa.org/team/99.0/11620,34,34-26,26,0,2013-14
100,Iowa (Big Ten),https://stats.ncaa.org/team/312.0/11620,30,30-23,23,0,2013-14
101,North Carolina (ACC),https://stats.ncaa.org/team/457.0/11620,35,35-27,27,0,2013-14
102,Jackson St. (SWAC),https://stats.ncaa.org/team/314.0/11620,32,32-25,25,0,2013-14
103,Northwestern St. (Southland),https://stats.ncaa.org/team/508.0/11620,33,33-26,26,0,2013-14
103,East Carolina (CUSA),https://stats.ncaa.org/team/196.0/11620,33,33-26,26,0,2013-14
103,UT Arlington (Sun Belt),https://stats.ncaa.org/team/702.0/11620,33,33-26,26,0,2013-14
106,Lamar University (Southland),https://stats.ncaa.org/team/346.0/11620,31,31-25,25,0,2013-14
107,Nicholls (Southland),https://stats.ncaa.org/team/483.0/11620,32,32-26,26,0,2013-14
108,Central Conn. St. (NEC),https://stats.ncaa.org/team/127.0/11620,27,27-22,22,0,2013-14
109,Southern California (Pac-12),https://stats.ncaa.org/team/657.0/11620,29,29-24,24,0,2013-14
110,Rutgers (AAC),https://stats.ncaa.org/team/587.0/11620,30,30-25,25,0,2013-14
111,Michigan St. (Big Ten),https://stats.ncaa.org/team/416.0/11620,31,31-26,26,0,2013-14
112,Arkansas St. (Sun Belt),https://stats.ncaa.org/team/30.0/11620,32,32-27,27,0,2013-14
113,Lipscomb (ASUN),https://stats.ncaa.org/team/28600.0/11620,33,33-28,28,0,2013-14
114,Charleston So. (Big South),https://stats.ncaa.org/team/48.0/11620,30,30-26,26,0,2013-14
114,Oral Roberts (Southland),https://stats.ncaa.org/team/527.0/11620,30,30-26,26,0,2013-14
114,Wake Forest (ACC),https://stats.ncaa.org/team/749.0/11620,30,30-26,26,0,2013-14
117,A&M-Corpus Christi (Southland),https://stats.ncaa.org/team/26172.0/11620,31,31-27,27,0,2013-14
117,Nevada (Mountain West),https://stats.ncaa.org/team/466.0/11620,31,31-27,27,0,2013-14
117,Middle Tenn. (CUSA),https://stats.ncaa.org/team/419.0/11620,31,31-27,27,0,2013-14
120,Wofford (SoCon),https://stats.ncaa.org/team/2915.0/11620,32,32-28,28,0,2013-14
121,Minnesota (Big Ten),https://stats.ncaa.org/team/428.0/11620,27,27-24,24,0,2013-14
122,Fla. Atlantic (CUSA),https://stats.ncaa.org/team/229.0/11620,28,28-25,25,0,2013-14
123,Miami (OH) (MAC),https://stats.ncaa.org/team/414.0/11620,30,30-27,27,0,2013-14
123,UNCW (CAA),https://stats.ncaa.org/team/460.0/11620,30,30-27,27,0,2013-14
125,Wichita St. (MVC),https://stats.ncaa.org/team/782.0/11620,31,31-28,28,0,2013-14
126,VMI (Big South),https://stats.ncaa.org/team/741.0/11620,25,25-23,23,0,2013-14
127,West Virginia (Big 12),https://stats.ncaa.org/team/768.0/11620,28,28-26,26,0,2013-14
128,McNeese (Southland),https://stats.ncaa.org/team/402.0/11620,30,30-28,28,0,2013-14
128,Ohio St. (Big Ten),https://stats.ncaa.org/team/518.0/11620,30,30-28,28,0,2013-14
128,Texas St. (Sun Belt),https://stats.ncaa.org/team/670.0/11620,30,30-28,28,0,2013-14
131,Lehigh (Patriot),https://stats.ncaa.org/team/352.0/11620,25,25-24,24,0,2013-14
132,Elon (SoCon),https://stats.ncaa.org/team/1068.0/11620,27,27-26,26,0,2013-14
133,Western Ky. (Sun Belt),https://stats.ncaa.org/team/772.0/11620,29,29-28,28,0,2013-14
133,Sacred Heart (NEC),https://stats.ncaa.org/team/590.0/11620,29,29-28,28,0,2013-14
133,Morehead St. (OVC),https://stats.ncaa.org/team/444.0/11620,29,29-28,28,0,2013-14
